"","x"
"4093",1
"4095",1
"4097",1
"4102",1
"4104",1
"4107",1
"4112",1
"4115",1
"4116",1
"4119",1
"4120",0
"4122",1
"4123",1
"4125",1
"4127",1
"4129",0
"4133",0
"4134",1
"4135",1
"4136",1
"4140",1
"4141",1
"4144",1
"4146",1
"4148",1
"4154",0
"4156",0
"4169",0
"4177",1
"4180",1
"4182",1
"4183",1
"4184",1
"4186",0
"4191",1
"4193",0
"4195",1
"4196",1
"4200",1
"4201",1
"4205",0
"4207",1
"4212",0
"4213",1
"4214",1
"4221",0
"4222",1
"4223",1
"4225",1
"4228",1
"4229",1
"4233",1
"4237",1
"4240",1
"4241",1
"4242",1
"4245",1
"4247",1
"4252",1
"4254",1
"4255",1
"4256",1
"4257",0
"4260",1
"4261",1
"4264",1
"4269",1
"4270",1
"4272",1
"4275",0
"4278",1
"4281",1
"4283",0
"4290",0
"4295",1
"4296",1
"4297",1
"4298",1
"4304",1
"4305",1
"4319",1
"4321",1
"4323",0
"4324",1
"4326",1
"4327",1
"4329",1
"4334",1
"4338",1
"4340",1
"4342",1
"4345",1
"4347",1
"4350",1
"4355",1
"4357",0
"4358",1
"4359",1
"4361",1
"4362",1
"4365",1
"4366",1
"4374",1
"4375",1
"4377",1
"4382",1
"4387",1
"4388",1
"4392",0
"4394",1
"4397",0
"4399",1
"4406",1
"4408",1
"4413",1
"4418",1
"4422",1
"4430",1
"4432",1
"4434",1
"4436",1
"4437",1
"4440",1
"4442",1
"4444",1
"4447",1
"4449",0
"4452",1
"4453",0
"4454",1
"4455",1
"4456",1
"4461",1
"4463",1
"4467",0
"4470",1
"4471",1
"4475",1
"4478",1
"4481",0
"4483",1
"4485",0
"4486",1
"4488",1
"4489",1
"4491",0
"4493",1
"4497",1
"4498",0
"4499",0
"4502",0
"4504",1
"4505",1
"4508",1
"4512",0
"4514",0
"4516",1
"4517",0
"4518",0
"4522",0
"4523",1
"4524",1
"4526",0
"4537",1
"4538",1
"4541",1
"4542",0
"4544",0
"4549",1
"4550",1
"4555",1
"4558",1
"4561",1
"4562",1
"4564",0
"4566",1
"4567",1
"4568",1
"4570",1
"4572",1
"4573",0
"4577",1
"4580",1
"4581",1
"4582",1
"4583",1
"4586",0
"4587",1
"4588",0
"4592",0
"4594",1
"4596",1
"4598",0
"4600",1
"4601",1
"4602",1
"4603",1
"4604",1
"4605",1
"4606",1
"4608",0
"4609",1
"4610",1
"4611",1
"4613",1
"4614",1
"4625",1
"4627",1
"4629",0
"4630",0
"4631",0
"4633",1
"4635",1
"4639",1
"4640",1
"4641",1
"4642",0
"4644",1
"4647",1
"4649",0
"4650",0
"4652",1
"4653",1
"4654",1
"4657",0
"4659",1
"4660",1
"4663",1
"4664",1
"4668",1
"4669",1
"4675",0
"4676",0
"4677",1
"4678",1
"4679",1
"4681",1
"4683",1
"4684",0
"4686",1
"4687",1
"4688",1
"4691",1
"4692",1
"4694",1
"4697",1
"4699",0
"4701",1
"4702",1
"4703",0
"4704",1
"4707",0
"4708",1
"4709",0
"4711",1
"4712",1
"4716",1
"4717",1
"4718",1
"4720",0
"4723",1
"4725",1
"4726",1
"4727",0
"4733",1
"4734",0
"4735",1
"4736",1
"4737",0
"4739",1
"4740",1
"4743",0
"4745",1
"4746",1
"4747",1
"4748",1
"4752",1
"4753",1
"4761",1
"4763",1
"4772",1
"4773",1
"4782",0
"4783",1
"4784",1
"4790",0
"4792",0
"4793",1
"4797",1
"4801",0
"4802",1
"4803",1
"4806",1
"4809",1
"4812",0
"4817",1
"4818",0
"4819",1
"4820",1
"4821",1
"4824",0
"4826",0
"4827",1
"4829",1
"4831",0
"4834",1
"4836",1
"4837",1
"4839",1
"4840",1
"4841",1
"4843",0
"4845",1
"4846",1
"4847",0
"4849",1
"4851",1
"4852",1
"4853",1
"4857",1
"4859",1
"4860",0
"4866",1
"4867",0
"4871",0
"4873",1
"4875",1
"4877",1
"4878",1
"4879",0
"4883",0
"4884",1
"4886",1
"4891",1
"4893",1
"4895",0
"4896",1
"4899",0
"4903",1
"4907",1
"4910",1
"4915",1
"4916",0
"4917",1
"4918",0
"4920",1
"4921",0
"4926",1
"4928",1
"4931",1
"4935",1
"4939",0
"4943",1
"4944",1
"4947",1
"4948",1
"4950",1
"4957",1
"4959",1
"4960",1
"4963",1
"4965",1
"4968",0
"4971",1
"4973",0
"4974",1
"4975",0
"4977",1
"4978",1
"4979",1
"4980",0
"4985",1
"4987",1
"4988",0
"4990",1
"4993",0
"4994",1
"4995",1
"4997",0
"4999",1
"5001",1
"5002",0
"5004",1
"5007",1
"5008",1
"5010",0
"5011",1
"5014",1
"5015",1
"5017",1
"5020",0
"5022",1
"5024",1
"5026",1
"5029",1
"5033",0
"5038",1
"5039",0
"5040",0
"5041",1
"5043",1
"5044",1
"5045",1
"5046",0
"5047",0
"5049",1
"5050",1
"5054",0
"5055",1
"5060",1
"5061",1
"5062",1
"5063",1
"5064",1
"5067",0
"5070",0
"5075",1
"5076",1
"5085",0
"5087",1
"5090",1
"5091",1
"5098",1
"5100",0
"5109",1
"5113",1
"5117",1
"5119",1
"5121",1
"5125",1
"5128",1
"5129",1
"5131",1
"5133",1
"5137",1
"5138",1
"5140",1
"5143",0
"5144",1
"5147",1
"5148",1
"5156",1
"5157",1
"5159",1
"5160",0
"5161",1
"5164",1
"5165",1
"5166",1
"5171",1
"5172",0
"5175",1
"5179",1
"5183",1
"5190",0
"5191",1
"5192",0
"5195",1
"5198",1
"5200",0
"5205",1
"5209",1
"5210",1
"5211",1
"5212",1
"5213",1
"5215",1
"5216",1
"5217",1
"5218",0
"5219",1
"5220",1
"5222",0
"5225",1
"5229",1
"5231",1
"5232",1
"5234",1
"5243",1
"5246",1
"5249",1
"5250",0
"5251",1
"5253",1
"5254",1
"5257",1
"5258",1
"5259",1
"5262",1
"5269",1
"5270",1
"5271",1
"5274",0
"5280",1
"5285",1
"5286",1
"5287",1
"5295",0
"5300",1
"5304",1
"5306",1
"5308",0
"5310",0
"5311",1
"5312",0
"5314",1
"5317",1
"5319",1
"5321",1
"5323",1
"5324",1
"5329",1
"5330",1
"5331",1
"5335",1
"5336",1
"5338",1
"5342",0
"5344",1
"5348",1
"5349",1
"5352",0
"5353",0
"5355",1
"5358",0
"5368",1
"5371",1
"5373",1
"5379",1
"5380",1
"5382",1
"5383",0
"5388",0
"5389",0
"5392",1
"5393",1
"5396",0
"5397",1
"5398",1
"5400",1
"5402",1
"5403",1
"5404",1
"5407",1
"5408",0
"5409",1
"5414",0
"5418",1
"5419",1
"5421",1
"5422",0
"5423",0
"5425",0
"5429",1
"5430",1
"5431",1
"5433",0
"5434",1
"5436",1
"5441",1
"5442",0
"5443",1
"5444",1
"5446",1
"5447",1
"5456",0
"5457",1
"5458",1
"5460",1
"5462",0
"5466",0
"5469",1
"5473",1
"5475",1
"5479",0
"5480",1
"5481",1
"5485",1
"5486",1
"5491",1
"5492",1
"5493",1
"5494",1
"5495",0
"5496",1
"5497",0
"5498",0
"5500",0
"5506",0
"5508",0
"5514",1
"5516",1
"5518",1
"5520",0
"5522",1
"5531",0
"5532",1
"5536",0
"5537",0
"5538",1
"5539",1
"5540",0
"5548",1
"5549",1
"5552",1
"5556",1
"5558",0
"5559",1
"5565",0
"5566",1
"5568",0
"5580",1
"5581",1
"5584",1
"5586",1
"5591",1
"5595",0
"5598",1
"5602",0
"5603",1
"5605",0
"5608",0
"5609",1
"5611",1
"5612",1
"5613",1
"5614",1
"5615",0
"5616",1
"5618",1
"5620",1
"5624",1
"5625",1
"5627",1
"5629",1
"5631",1
"5632",0
"5636",1
"5637",0
"5639",1
"5642",1
"5645",1
"5649",0
"5655",1
"5657",1
"5663",1
"5664",1
"5672",0
"5673",0
"5676",1
"5679",0
"5682",0
"5683",0
"5685",1
"5690",0
"5695",0
"5696",1
"5707",1
"5709",0
"5711",1
"5714",1
"5716",1
"5717",1
"5721",1
"5724",1
"5726",1
"5727",1
"5728",0
"5730",1
"5732",1
"5733",1
"5736",1
"5739",1
"5740",1
"5749",0
"5756",1
"5758",0
"5760",0
"5764",1
"5766",1
"5767",1
"5768",1
"5776",1
"5780",1
"5782",1
"5783",1
"5785",1
"5786",1
"5789",1
"5795",0
"5796",0
"5798",1
"5802",1
"5803",0
"5806",1
"5811",1
"5815",1
"5816",1
"5817",1
"5820",1
"5821",1
"5823",1
"5825",0
"5826",1
"5827",1
"5829",0
"5833",1
"5838",1
"5840",1
"5841",1
"5847",0
"5848",1
"5849",1
"5850",0
"5851",0
"5853",1
"5858",1
"5859",1
"5861",1
"5862",1
"5863",0
"5864",1
"5865",1
"5866",1
"5867",1
"5868",0
"5869",1
"5871",1
"5878",1
"5879",0
"5883",1
"5884",0
"5889",1
"5893",1
"5894",1
"5896",1
"5898",0
"5900",1
"5903",1
"5909",0
"5915",1
"5917",1
"5919",1
"5920",1
"5924",1
"5929",1
"5932",1
"5934",1
"5935",0
"5936",1
"5937",1
"5938",0
"5939",1
"5941",1
"5943",1
"5947",1
"5953",1
"5954",1
"5958",1
"5959",1
"5962",1
"5963",1
"5965",1
"5967",1
"5969",1
"5970",0
"5971",1
"5973",1
"5980",1
"5981",1
"5983",1
"5986",0
"5987",1
"5991",1
"5993",0
"5996",0
"6000",0
"6001",0
"6002",1
"6007",1
"6009",1
"6011",1
"6013",1
"6015",1
"6020",1
"6023",1
"6026",1
"6027",1
"6029",1
"6030",0
"6031",0
"6032",1
"6033",0
